seed,budget,policy,pair,exchanges
12,360,cyclic,3-4,60
12,360,random,1-2,51
12,360,random,1-3,61
12,360,random,1-4,75
12,360,random,2-3,50
12,360,random,2-4,60
12,360,random,3-4,63
12,360,geometry,1-2,57
12,360,geometry,1-3,64
12,360,geometry,1-4,58
12,360,geometry,2-3,58
12,360,geometry,2-4,56
12,360,geometry,3-4,67
12,360,information,1-2,53
12,360,information,1-3,71
12,360,information,1-4,66
12,360,information,2-3,45
12,360,information,2-4,52
12,360,information,3-4,73
12,720,cyclic,1-2,120
12,720,cyclic,1-3,120
12,720,cyclic,1-4,120
12,720,cyclic,2-3,120
12,720,cyclic,2-4,120
12,720,cyclic,3-4,120
12,720,random,1-2,138
12,720,random,1-3,111
12,720,random,1-4,113
12,720,random,2-3,128
12,720,random,2-4,123
12,720,random,3-4,107
12,720,geometry,1-2,111
12,720,geometry,1-3,131
12,720,geometry,1-4,116
12,720,geometry,2-3,114
12,720,geometry,2-4,112
12,720,geometry,3-4,136
12,720,information,1-2,107
12,720,information,1-3,144
12,720,information,1-4,133
12,720,information,2-3,90
12,720,information,2-4,92
12,720,information,3-4,154
13,180,cyclic,1-2,30
13,180,cyclic,1-3,30
13,180,cyclic,1-4,30
13,180,cyclic,2-3,30
13,180,cyclic,2-4,30
13,180,cyclic,3-4,30
13,180,random,1-2,28
13,180,random,1-3,25
13,180,random,1-4,27
13,180,random,2-3,29
13,180,random,2-4,34
13,180,random,3-4,37
13,180,geometry,1-2,28
13,180,geometry,1-3,32
13,180,geometry,1-4,28
13,180,geometry,2-3,30
13,180,geometry,2-4,28
13,180,geometry,3-4,34
13,180,information,1-2,25
13,180,information,1-3,34
13,180,information,1-4,34
13,180,information,2-3,22
13,180,information,2-4,29
13,180,information,3-4,36
13,360,cyclic,1-2,60
13,360,cyclic,1-3,60
13,360,cyclic,1-4,60
13,360,cyclic,2-3,60
13,360,cyclic,2-4,60
13,360,cyclic,3-4,60
13,360,random,1-2,70
13,360,random,1-3,60
13,360,random,1-4,59
13,360,random,2-3,58
13,360,random,2-4,63
13,360,random,3-4,50
13,360,geometry,1-2,55
13,360,geometry,1-3,66
13,360,geometry,1-4,58
13,360,geometry,2-3,58
13,360,geometry,2-4,55
13,360,geometry,3-4,68
13,360,information,1-2,53
13,360,information,1-3,74
13,360,information,1-4,65
13,360,information,2-3,46
13,360,information,2-4,51
13,360,information,3-4,71
13,720,cyclic,1-2,120
13,720,cyclic,1-3,120
13,720,cyclic,1-4,120
13,720,cyclic,2-3,120
13,720,cyclic,2-4,120
13,720,cyclic,3-4,120
13,720,random,1-2,116
13,720,random,1-3,113
13,720,random,1-4,121
13,720,random,2-3,135
13,720,random,2-4,116
13,720,random,3-4,119
13,720,geometry,1-2,109
13,720,geometry,1-3,132
13,720,geometry,1-4,117
13,720,geometry,2-3,114
13,720,geometry,2-4,112
13,720,geometry,3-4,136
13,720,information,1-2,101
13,720,information,1-3,140
13,720,information,1-4,133
13,720,information,2-3,92
13,720,information,2-4,94
13,720,information,3-4,160
14,180,cyclic,1-2,30
14,180,cyclic,1-3,30
14,180,cyclic,1-4,30
14,180,cyclic,2-3,30
14,180,cyclic,2-4,30
14,180,cyclic,3-4,30
14,180,random,1-2,26
14,180,random,1-3,34
14,180,random,1-4,37
14,180,random,2-3,29
14,180,random,2-4,26
14,180,random,3-4,28
14,180,geometry,1-2,28
14,180,geometry,1-3,34
14,180,geometry,1-4,28
14,180,geometry,2-3,29
14,180,geometry,2-4,28
14,180,geometry,3-4,33
14,180,information,1-2,27
14,180,information,1-3,35
14,180,information,1-4,32
14,180,information,2-3,21
14,180,information,2-4,31
14,180,information,3-4,34
14,360,cyclic,1-2,60
14,360,cyclic,1-3,60
14,360,cyclic,1-4,60
14,360,cyclic,2-3,60
14,360,cyclic,2-4,60
14,360,cyclic,3-4,60
14,360,random,1-2,53
14,360,random,1-3,57
14,360,random,1-4,64
14,360,random,2-3,69
14,360,random,2-4,63
14,360,random,3-4,54
14,360,geometry,1-2,56
14,360,geometry,1-3,66
14,360,geometry,1-4,56
14,360,geometry,2-3,58
14,360,geometry,2-4,57
