geometry,time_s,obs_sigma_ratio,position_error_mean_m
moving,16.0,1.725465582197565e-05,6.0527115272122245
moving,17.0,1.5662070833310226e-05,6.484787906457498
moving,18.0,1.436850390637193e-05,7.037667172650027
moving,19.0,1.4798851576811252e-05,7.234293730041045
moving,20.0,1.831927738039877e-05,7.551384631991101
moving,21.0,2.5003591927008644e-05,7.455172835377686
moving,22.0,3.425889483617178e-05,7.609171857858532
moving,23.0,4.564604162255067e-05,7.930991262995136
moving,24.0,5.89270943260236e-05,8.277564833496736
moving,25.0,7.396068662281277e-05,8.578511851426521
moving,26.0,9.064022035080616e-05,8.774634384619095
moving,27.0,0.0001088658542673,9.048812789670553
moving,28.0,0.0001285325534913,9.287740345346156
moving,29.0,0.0001495255234002,9.490725119515862
moving,30.0,0.0001717192001449,9.394285511500332
moving,31.0,0.0001949780293698,9.35199577736848
moving,32.0,0.0002191581366858,9.385724536780447
moving,33.0,0.000244109383541,9.854494239893215
moving,34.0,0.0002696774921857,10.156462970797609
moving,35.0,0.0002957060271093,10.229273803697234
moving,36.0,0.0003220380851536,10.23130517473936
moving,37.0,0.000348517593271,10.403662024115558
moving,38.0,0.0003749901511926,10.173413753215334
moving,39.0,0.0004013033908934,10.423194049081658
moving,40.0,0.0004273068582907,10.382900075427964
moving,41.0,0.0004528514566646,10.194521200070316
moving,42.0,0.0004777885267336,10.222869965086511
moving,43.0,0.000501968675593,10.33153312422269
moving,44.0,0.0005252405056776,10.411210368792675
moving,45.0,0.000547449434768,10.503844782484505
moving,46.0,0.0005684368371388,10.462517251862923
moving,47.0,0.0005880397713894,10.476742611290504
moving,48.0,0.0006060915878899,10.445100222830265
moving,49.0,0.00006224237218545,10.632892385647152
moving,50.0,0.000636868968566,10.529620947893878
moving,51.0,0.0006492664953411,10.919803112202786
moving,52.0,0.0006594687600733,10.526074307142627
moving,53.0,0.0006673503698586,11.072518467169663
moving,54.0,0.0006728187213126,10.74566411571996
moving,55.0,0.0006758260211765,10.095869900361318
moving,56.0,0.000676382007585,10.086143033525758
moving,57.0,0.0006745664071247,10.236142523218543
moving,58.0,0.0006705399080431,9.832178953349562
moving,59.0,0.0006645522454821,9.148829082195489
moving,60.0,0.00006569459138231,9.148384827501715
