rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,12.6,0.8324831,0.2277145,1.187309,0.3868374,0.1610558,0.5962431,0.7216507,0.222957,1.041315
0,12.7,0.8391106,0.2294936,1.196611,0.3898981,0.1623835,0.600912,0.7274052,0.2246675,1.049484
0,12.8,0.8457468,0.2312693,1.205899,0.3929694,0.1637174,0.6055958,0.7331625,0.2263754,1.05763
0,12.9,0.852386,0.2330485,1.215173,0.3960386,0.1650602,0.6102845,0.7389237,0.2280822,1.065759
0,13,0.8590201,0.2348291,1.224512,0.3990968,0.1664016,0.6150194,0.7446852,0.2297909,1.073934
0,13.1,0.8656641,0.2366161,1.233887,0.4021533,0.1677373,0.6197552,0.7504583,0.2315126,1.08215
0,13.2,0.8723176,0.2384085,1.243277,0.4052067,0.1690748,0.6244627,0.7562433,0.2332412,1.090399
0,13.3,0.8789817,0.2402034,1.2527,0.4082585,0.1704176,0.629204,0.7620403,0.2349716,1.098669
0,13.4,0.8856529,0.2420003,1.262127,0.4113191,0.1717658,0.634002,0.7678408,0.2367005,1.106912
0,13.5,0.8923268,0.2438,1.27156,0.4143801,0.1731135,0.6387741,0.7736443,0.2384324,1.115175
0,13.6,0.8990017,0.2455918,1.280963,0.4174427,0.1744537,0.6434773,0.7794487,0.2401592,1.123444
0,13.7,0.9056789,0.2473783,1.29035,0.4205051,0.1757976,0.6481704,0.785255,0.2418806,1.1317
0,13.8,0.912355,0.2491499,1.299739,0.4235679,0.1771464,0.6529178,0.7910596,0.2435842,1.139929
0,13.9,0.9190337,0.2509207,1.309126,0.4266258,0.1784917,0.6576674,0.7968718,0.2452829,1.148153
0,14,0.9257164,0.2526834,1.318499,0.4296762,0.1798353,0.6623949,0.8026941,0.2469691,1.156374
0,14.1,0.9324032,0.2544277,1.327859,0.4327236,0.1811738,0.6671021,0.8085238,0.2486367,1.164592
0,14.2,0.939096,0.2561666,1.337244,0.4357745,0.182522,0.6718292,0.814359,0.2502905,1.172828
0,14.3,0.9458006,0.2579034,1.346656,0.4388294,0.1838672,0.6765784,0.8202056,0.2519443,1.181084
0,14.4,0.9525161,0.2596342,1.356046,0.4418899,0.1852097,0.6813336,0.8260626,0.2535904,1.189311
0,14.5,0.9592348,0.2613569,1.365403,0.4449515,0.1865582,0.6860539,0.8319215,0.2552283,1.197522
0,14.6,0.9659443,0.2630744,1.374731,0.4480127,0.1879012,0.6907483,0.837772,0.2568584,1.205713
0,14.7,0.9726446,0.2647881,1.384074,0.4510668,0.189248,0.6954282,0.8436161,0.2584795,1.213931
0,14.8,0.9793511,0.2664973,1.393423,0.4541194,0.1905897,0.7000985,0.8494684,0.2600993,1.22216
0,14.9,0.9860579,0.2682014,1.402731,0.4571629,0.1919307,0.7047507,0.8553256,0.2617156,1.230352
0,15,0.9927638,0.2699026,1.41203,0.4602068,0.1932667,0.709395,0.8611816,0.2633321,1.238538
0,15.1,0.999464,0.2716031,1.42133,0.4632475,0.1946005,0.714044,0.867032,0.2649516,1.24672
0,15.2,1.00617,0.2732976,1.430607,0.4662962,0.1959421,0.7187098,0.8728839,0.2665629,1.254867
0,15.3,1.012888,0.274979,1.439896,0.4693499,0.1972883,0.7233957,0.878746,0.2681614,1.263018
0,15.4,1.019604,0.276654,1.449151,0.4724067,0.1986334,0.7280756,0.8846049,0.2697512,1.271134
0,15.5,1.026323,0.2783434,1.458396,0.4754704,0.1999852,0.7327412,0.8904624,0.271353,1.279248
0,15.6,1.033036,0.2800331,1.467612,0.4785396,0.2013562,0.7374382,0.8963089,0.2729469,1.287314
0,15.7,1.039742,0.2817294,1.476844,0.481604,0.2027348,0.7421921,0.9021488,0.2745413,1.295366
0,15.8,1.046452,0.2834302,1.486061,0.4846633,0.2041249,0.7469489,0.9079963,0.2761352,1.303401
0,15.9,1.053161,0.2851147,1.495227,0.4877196,0.2055149,0.7516449,0.9138435,0.2777135,1.311412
0,16,1.059872,0.2868011,1.504426,0.4907749,0.2069071,0.756365,0.9196925,0.2792951,1.319447
0,16.1,1.066584,0.2884927,1.513659,0.4938292,0.2083037,0.7611173,0.9255433,0.2808799,1.327503
0,16.2,1.073291,0.2901689,1.522852,0.4968774,0.2097002,0.7658786,0.9313924,0.282447,1.33551
0,16.3,1.079997,0.2918348,1.532037,0.4999248,0.2111023,0.7706752,0.9372379,0.2840052,1.343488
0,16.4,1.086707,0.2934963,1.541244,0.5029734,0.2125042,0.7754859,0.9430879,0.2855616,1.351483
0,16.5,1.093419,0.2951603,1.550443,0.5060263,0.2139072,0.7802796,0.9489364,0.287124,1.359479
0,16.6,1.10013,0.2968326,1.559633,0.5090793,0.2153205,0.7850957,0.9547821,0.288688,1.367454
0,16.7,1.106841,0.2985103,1.568809,0.5121314,0.2167319,0.7899157,0.9606309,0.2902564,1.375411
0,16.8,1.113547,0.3001921,1.578008,0.5151873,0.2181441,0.7947629,0.9664724,0.2918237,1.383379
