seed,rate_hz,uwb_exchanges,communication_ratio,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
3,10.0,3600,1.0,1.4368324482842492,1.4535449854051883,1.4363026824380813,0.0390139572932815,0.0535622682446404,3.156625448005798,1.4535449854051883,1.4291798208746915,1.4251059696155453,1.4393314170628624
4,0.0,0,0.0,3.226132866178567,3.805962655155408,0.36904132987285426,3.204955813592944,0.05378347748317569,2.5320013410018873,3.3232533650265084,2.2316965676278144,3.805962655155408,3.334951101649133
4,0.5,180,0.05,0.4066350655740036,0.4767338916554604,0.3705793156032999,0.1674008584248123,0.10471859372752099,2.3228714270007913,0.38865906690655544,0.33966545447261004,0.40951753505042743,0.4767338916554604
4,1.0,360,0.1,0.3913516088493123,0.43995835514314624,0.37066459631359666,0.1255541269278853,0.09525333139421878,2.3345723300008103,0.36684397109146505,0.3486273632330169,0.403665003703016,0.43995835514314624
4,2.0,720,0.2,0.3839420477739403,0.4043920527022522,0.3725400211882776,0.09287318591436569,0.09339887622312017,2.58523541699833,0.3761908967686672,0.36579768293141396,0.4043920527022522,0.3883111075633041
4,5.0,1800,0.5,0.3766993593674717,0.3997959685747034,0.37116482980514004,0.06433565468373598,0.06805157300384547,2.7001178150021587,0.37564764475612816,0.3483594436426487,0.3811920223680282,0.3997959685747034
4,10.0,3600,1.0,0.37220399928958203,0.3947512649253463,0.36782005994440625,0.05695805991826396,0.05476838197286243,3.1726173580027535,0.3657383983619806,0.34881327846935195,0.377993952220867,0.3947512649253463
5,0.0,0,0.0,2.490196938648682,3.4196908403407806,1.2001899853293445,2.181885604785552,0.056520170645185476,2.658153873999254,1.329394066439075,3.4196908403407806,2.347767162551154,2.414692215598817
5,0.5,180,0.05,1.203800997146203,1.2375264205758454,1.1983644633670272,0.11427796668321165,0.08661413041106499,2.6388247259965283,1.1986653703904069,1.2046817031197734,1.1734645479488413,1.2375264205758454
5,1.0,360,0.1,1.2025629862814444,1.234023866369593,1.1986886363359366,0.09645355925645442,0.08677040513875353,2.415629987997818,1.1880022660905378,1.234023866369593,1.1856209055100877,1.2019857425560458
5,2.0,720,0.2,1.1996837153915265,1.2265329427083544,1.197790560632751,0.06737054129734656,0.07771662366127818,2.31374668799981,1.1771787394095885,1.2265329427083544,1.1977603166996835,1.196746191794727
5,5.0,1800,0.5,1.2012419682827895,1.2210689137673951,1.1996330938434454,0.06215067593770661,0.07068569444202745,2.761556434998056,1.1841622857855205,1.2210689137673951,1.2029017588129371,1.1965395157931509
5,10.0,3600,1.0,1.2015818494111983,1.2238060119121998,1.2003723934938901,0.053898587849640044,0.0693498237673839,2.7553075129981153,1.1777504444912616,1.2238060119121998,1.2111245823416754,1.1931369347621557
6,0.0,0,0.0,3.005153611043143,4.3612977560697885,2.345486556185886,1.8787338930026565,0.061337655850006244,2.3531359690023237,3.0706297521182,1.9719450682073005,1.9456465146944508,4.3612977560697885
6,0.5,180,0.05,2.3506480618603622,2.3744119862587616,2.3472611755358317,0.12613994034414108,0.08754380472318755,2.7595431209992967,2.3231561150938385,2.3744119862587616,2.3596442039783416,2.345075235031014
6,1.0,360,0.1,2.347192585748815,2.374846288199439,2.345400110842521,0.09171343769642878,0.07651422360927126,2.4647076839974034,2.327587046306851,2.374846288199439,2.340694525602792,2.3453880117114587
6,2.0,720,0.2,2.341378315010213,2.365549926069643,2.3398250925021045,0.08526986863824619,0.06145845421468584,2.5825035110028693,2.3263940994791685,2.365549926069643,2.337883869266537,2.3355026677364346
6,5.0,1800,0.5,2.3439682873494774,2.3561357122165014,2.343382311205971,0.05240873617067416,0.06671486813187644,2.4303116709997994,2.3350319577920664,2.3561357122165014,2.3480002918886695,2.336641654040834
6,10.0,3600,1.0,2.342916287760051,2.3510351599012496,2.342479900475206,0.04521777660398121,0.06720688980891064,2.7783224700033315,2.3349210930902475,2.350523942244306,2.3510351599012496,2.335131963870988
7,0.0,0,0.0,1.8787567679601749,2.702718356834527,0.9432883509226806,1.6247873953750787,0.04225638312417608,2.3810720780020347,2.702718356834527,0.24893787170063808,2.178656429479993,1.4162300500176415
7,0.5,180,0.05,0.9423479995521963,0.9557014980900882,0.9378263207757852,0.09220381944464226,0.07114883128375739,2.1430579509978998,0.9503473546336894,0.9352650682304666,0.9278107637212835,0.9557014980900882
7,1.0,360,0.1,0.9413080213048147,0.9460531399901592,0.9392979069303221,0.061483599513214464,0.06523956076428053,2.3253235980009777,0.9423796926893627,0.9323229414951675,0.9444157282544586,0.9460531399901592
7,2.0,720,0.2,0.9380875257076781,0.948170411802831,0.9364189945017768,0.05592559901006713,0.0930631443633403,2.3623057029981283,0.948170411802831,0.9346788399774209,0.9352703238694211,0.9341576853629778
7,5.0,1800,0.5,0.9398202712130277,0.9563666636941377,0.9385798662511876,0.048269833755999386,0.058961212077799294,2.4979308460024185,0.9455363480701892,0.9224621544876227,0.9345779589324814,0.9563666636941377
7,10.0,3600,1.0,0.9372309234909741,0.942269542096715,0.9366266736339813,0.033649341525315596,0.06201325776140573,2.6334016539985896,0.9418015586195703,0.9276050271205728,0.9371734437499885,0.942269542096715
8,0.0,0,0.0,2.1135156147101846,2.6335085358671444,0.5926532718475674,2.0287213591304605,0.022488153159756823,2.2259614690046874,2.2234518462075594,2.6335085358671444,0.8317129379715177,2.3015084797621204
8,0.5,180,0.05,0.6042590996334578,0.6283486246316587,0.5936895268443397,0.11252468709212689,0.031964900264546466,2.3303858950021095,0.6283486246316587,0.5830930494931805,0.6000564738175309,0.6046726120350294
8,1.0,360,0.1,0.5953738784245315,0.6088988234584429,0.5901098696808927,0.07899618228413781,0.026662547497807748,2.4499548130042967,0.6088988234584429,0.586982338401989,0.6007803590765538,0.5844973377047838
8,2.0,720,0.2,0.5940069879352691,0.6045919943426389,0.5910324909701578,0.05937083739969665,0.029233466761117693,2.432465117999527,0.5929627217985097,0.5789536464736514,0.5992108251965085,0.6045919943426389
8,5.0,1800,0.5,0.5901211118097496,0.6036817134611568,0.5879964065039096,0.05003151548837988,0.0332794531114074,2.7576991240057396,0.6036817134611568,0.5807321826405029,0.5766569933323976,0.5989632203510827
8,10.0,3600,1.0,0.5941076396655367,0.6068033450054136,0.592606777247172,0.04220302204434869,0.035977627324875486,2.859715079997841,0.6007412358980511,0.5894840458067631,0.57901966957698,0.6068033450054136
